s_sector,r_sector,lag,corr,pvalue,significant,n_obs
ConsumerStaples,Utilities,3,-0.1160542665169252,0.06863097752876801,False,247
ConsumerStaples,Utilities,4,-0.16119924623091647,0.011340915827547779,True,246
ConsumerStaples,Utilities,5,-0.11065343194936679,0.0839068024073402,False,245
ConsumerDiscretionary,Banking,0,0.009021179153025562,0.8871389144127757,False,250
ConsumerDiscretionary,Banking,1,-0.11707667934108874,0.06511158298861598,False,249
ConsumerDiscretionary,Banking,2,-0.007096669590768642,0.9114615144332981,False,248
ConsumerDiscretionary,Banking,3,-0.01184772826259933,0.8530222472828777,False,247
ConsumerDiscretionary,Banking,4,-0.0288929461680182,0.6520225340596552,False,246
ConsumerDiscretionary,Banking,5,0.06690701389214311,0.296914052759241,False,245
ConsumerDiscretionary,RealEstate,0,0.015708610285178372,0.8047956630089512,False,250
ConsumerDiscretionary,RealEstate,1,-0.14300760616789587,0.024015590020068242,True,249
ConsumerDiscretionary,RealEstate,2,0.008797504369711613,0.8903621467217372,False,248
ConsumerDiscretionary,RealEstate,3,-0.01908959159260671,0.7653049106497775,False,247
ConsumerDiscretionary,RealEstate,4,-0.02708954622832274,0.6724437307627539,False,246
ConsumerDiscretionary,RealEstate,5,-0.040509341365157686,0.5279830380542485,False,245
ConsumerDiscretionary,SteelMaterials,0,-0.12192531188603352,0.054187305945379835,False,250
ConsumerDiscretionary,SteelMaterials,1,-0.13696180391251314,0.030731066595795394,True,249
ConsumerDiscretionary,SteelMaterials,2,-0.0323161739339842,0.6125219279999841,False,248
ConsumerDiscretionary,SteelMaterials,3,0.004723506960481651,0.9411221137116623,False,247
ConsumerDiscretionary,SteelMaterials,4,-0.16976824563741796,0.007617997771038068,True,246
ConsumerDiscretionary,SteelMaterials,5,-0.09594928632893533,0.1342318202732058,False,245
ConsumerDiscretionary,Technology,0,0.01261037408847508,0.8427351125407391,False,250
ConsumerDiscretionary,Technology,1,-0.1417968208371088,0.02524875746229035,True,249
ConsumerDiscretionary,Technology,2,-0.07335772689778226,0.24975128679221437,False,248
ConsumerDiscretionary,Technology,3,0.03884940271850611,0.543387370606105,False,247
ConsumerDiscretionary,Technology,4,-0.16372797765669744,0.010103258714707802,True,246
ConsumerDiscretionary,Technology,5,-0.0021960360969986506,0.9727195361957023,False,245
ConsumerDiscretionary,ConsumerStaples,0,-0.05999062293914888,0.344846534424487,False,250
ConsumerDiscretionary,ConsumerStaples,1,-0.11003959122932742,0.08310905315736498,False,249
ConsumerDiscretionary,ConsumerStaples,2,-0.04721068135253703,0.4592203307918848,False,248
ConsumerDiscretionary,ConsumerStaples,3,-0.13860899973801272,0.029414618639141264,True,247
ConsumerDiscretionary,ConsumerStaples,4,-0.06280763170464478,0.32656767352152416,False,246
